						Azores High	
Month	Year				Pressure	Lon	Lat
1	1948				1.019	331.8022	29.0004
2	1948				1.0185	330.5390	33.7585
3	1948				1.0203	334.3437	35.3668
4	1948				1.0185	320.4803	36.3825
5	1948				1.0185	321.3586	34.7831
6	1948				1.0196	325.4474	32.7881
7	1948				1.0194	324.8783	34.5503
8	1948				1.0183	321.6859	33.1873
9	1948				1.0178	330.0931	34.8255
10	1948				1.017	332.5922	36.1402
11	1948				1.0185	338.3749	34.3035
12	1948				1.0189	336.4229	30.8684
1	1949				1.0196	336.4017	36.8256
2	1949				1.021	335.2529	34.9238
3	1949				1.0188	329.0457	36.8768
4	1949				1.019	329.2088	33.1386
5	1949				1.0188	321.1413	34.2617
6	1949				1.0194	323.1047	33.3045
7	1949				1.0196	324.2191	35.3762
8	1949				1.0183	325.7121	36.0445
9	1949				1.0177	321.2329	34.7971
10	1949				1.0181	326.4430	35.0027
11	1949				1.0177	327.5505	33.869
12	1949				1.0184	324.2088	35.9512
1	1950				1.0201	321.9286	33.8112
2	1950				1.0202	330.0309	31.5334
3	1950				1.0188	328.8918	31.7122
4	1950				1.0184	321.5087	34.0736
5	1950				1.0175	319.4739	32.8743
6	1950				1.019	321.5621	32.847
7	1950				1.0195	317.0895	32.3839
8	1950				1.0182	318.5464	34.9506
9	1950				1.0182	326.1976	34.9695
10	1950				1.0175	329.9321	36.6552
11	1950				1.0167	328.0826	36.9699
12	1950				1.0177	326.1395	36.0968
1	1951				1.0191	326.5481	31.8867
2	1951				1.0191	323.5224	33.9083
3	1951				1.0158	309.1838	36.264
4	1951				1.0169	326.4910	34.4413
5	1951				1.0181	322.6733	30.9748
6	1951				1.0174	323.3238	30.9659
7	1951				1.0199	322.7982	35.2305
8	1951				1.0193	321.3932	34.884
9	1951				1.0171	321.4074	33.2262
10	1951				1.0173	323.0572	36.944
11	1951				1.0181	320.5531	33.1695
12	1951				1.0194	330.1343	32.7044
1	1952				1.0206	329.4424	34.0842
2	1952				1.0179	339.7995	36.0875
3	1952				1.0159	314.7844	24.9984
4	1952				1.0189	322.8554	32.2442
5	1952				1.0167	323.9614	30.5282
6	1952				1.0192	325.7311	33.8182
7	1952				1.0204	323.3743	36.5178
8	1952				1.0186	318.4499	34.5192
9	1952				1.0178	324.7315	37.3454
10	1952				1.0172	324.7326	31.9508
11	1952				1.0162	329.7809	37.2167
12	1952				1.0178	338.3016	33.1669
1	1953				1.018	329.4796	34.3664
2	1953				1.0195	329.5851	33.4725
3	1953				1.0199	333.5362	36.8556
4	1953				1.0165	319.7240	31.674
5	1953				1.0176	324.3378	31.4228
6	1953				1.0205	320.7046	33.6379
7	1953				1.0204	321.4107	34.0114
8	1953				1.0189	323.6334	34.7427
9	1953				1.0177	323.8443	34.3117
10	1953				1.0174	325.8855	35.3537
11	1953				1.0188	331.6123	36.1262
12	1953				1.0183	329.7195	33.1842
1	1954				1.0201	330.1937	33.8006
2	1954				1.0193	325.7738	32.4074
3	1954				1.0188	321.7382	28.7546
4	1954				1.0203	323.1402	35.9569
5	1954				1.0171	323.9716	33.2082
6	1954				1.019	323.8486	33.6707
7	1954				1.0204	323.5585	35.5818
8	1954				1.0184	320.2782	32.8353
9	1954				1.0189	326.4475	34.372
10	1954				1.0174	331.2896	33.6213
11	1954				1.0174	321.3518	33.9167
12	1954				1.0189	333.1477	33.7292
1	1955				1.0169	336.7992	26.8107
2	1955				1.0172	312.3786	31.7781
3	1955				1.0175	316.0579	29.9912
4	1955				1.018	331.5674	34.8572
5	1955				1.0182	325.2501	31.6608
6	1955				1.0184	323.4508	31.8036
