Year   Ann
1966   0.65
1967  -0.39
1968   0.30
1969  -0.69
1970  -1.06
1971  -1.88
1972  -1.31
1973  -1.18
1974  -0.63
1975   0.00
1976  -0.71
1977   0.04
1978  -0.89
1979  -1.52
1980  -0.26
1981  -0.57
1982  -1.12
1983   0.01
1984   0.63
1985   1.37
1986  -0.08
1987  -0.49
1988   0.09
1989   0.47
1990   0.69
1991   1.31
1992   1.04
1993   0.72
1994   1.42
1995   2.15
1996  -0.14
1997  -0.36
1998  -0.68
1999  -0.11
2000   1.43
2001   1.43
2002   0.93
2003   0.01
2004  -0.86
2005  -0.29
2006   0.52
2007   0.44
2008  -0.29
2009   0.12
2010  -0.26


