								Icelandic Low	
					Month	Year	Pressure	Lon	Lat
					1	1948	1.0031	338.9385	57.344
					2	1948	1.0068	319.9792	61.7659
					3	1948	1.0048	324.3369	63.2945
					4	1948	1.01	348.3329	63.1242
					5	1948	1.0131	339.7198	49.327
					6	1948	1.0116	326.8544	55.7251
					7	1948	1.0117	317.1009	59.2903
					8	1948	1.0107	325.6181	61.3967
					9	1948	1.009	339.4231	62.9472
					10	1948	1.0063	328.4278	65.0795
					11	1948	1.0069	325.0736	58.5715
					12	1948	1.0053	333.6624	58.6711
					1	1949	1.004	342.6646	65.3396
					2	1949	1.0035	334.6594	64.4057
					3	1949	1.0106	326.3872	61.0416
					4	1949	1.0085	342.6052	61.5417
					5	1949	1.0123	359.3576	56.3588
					6	1949	1.0112	304.8022	57.8593
					7	1949	1.0106	299.5109	61.7491
					8	1949	1.0108	323.1026	63.7271
					9	1949	1.0112	315.8298	63.3143
					10	1949	1.0068	323.2824	61.3993
					11	1949	1.0079	329.6706	58.1765
					12	1949	1.005	341.4733	62.766
					1	1950	1.0045	320.1129	60.7626
					2	1950	1.0031	341.3663	59.6034
					3	1950	1.0076	324.9232	58.2905
					4	1950	1.0078	356.6424	60.3547
					5	1950	1.0134	304.0973	56.8321
					6	1950	1.0091	310.7424	60.8242
					7	1950	1.0112	328.1959	58.7575
					8	1950	1.0092	323.4172	60.9461
					9	1950	1.006	335.675	62.3299
					10	1950	1.0073	326.0576	62.5779
					11	1950	1.0085	350.6921	60.3558
					12	1950	1.0096	349.8854	58.5131
					1	1951	1.0058	334.0254	60.1013
					2	1951	1.006	345.959	59.325
					3	1951	1.0097	354.4727	54.2562
					4	1951	1.0112	340.4923	58.2537
					5	1951	1.012	326.9873	50.165
					6	1951	1.013	315.3676	55.4534
					7	1951	1.0091	311.9845	63.9293
					8	1951	1.01	333.1059	61.3968
					9	1951	1.0088	322.778	59.0978
					10	1951	1.0081	328.4765	63.1142
					11	1951	1.007	339.2228	58.4144
					12	1951	1.0021	333.7848	62.7132
					1	1952	1.006	343.6258	63.1015
					2	1952	1.0095	336.6161	56.2625
					3	1952	1.0081	332.3166	50.1333
					4	1952	1.0091	334.6064	60.395
					5	1952	1.0123	301.9154	44.6208
					6	1952	1.0103	318.4415	60.015
					7	1952	1.0101	314.7455	64.9054
					8	1952	1.0105	328.2441	61.3027
					9	1952	1.0103	334.227	63.9157
					10	1952	1.0079	324.4171	58.6449
					11	1952	1.0116	338.5647	60.9802
					12	1952	1.0103	338.9622	58.9402
					1	1953	1.0077	331.2934	64.5766
					2	1953	1.0088	320.619	60.1959
					3	1953	1.0091	335.8791	63.6108
					4	1953	1.0109	319.5457	51.9979
					5	1953	1.0119	322.4744	49.7723
					6	1953	1.0106	320.3707	59.8011
					7	1953	1.0093	325.9982	61.8523
					8	1953	1.0098	327.8372	62.2612
					9	1953	1.0094	327.1646	61.9029
					10	1953	1.0062	323.9815	63.4245
					11	1953	1.005	335.2296	64.0204
					12	1953	1.0057	321.2459	62.2124
					1	1954	1.0084	322.5116	62.426
					2	1954	1.0083	325.1423	60.8184
					3	1954	1.0075	331.3346	55.5735
					4	1954	1.011	316.7398	62.1111
					5	1954	1.0127	347.5698	47.0123
					6	1954	1.0113	327.0104	62.6279
					7	1954	1.0101	341.4785	60.957
					8	1954	1.0105	333.0964	58.4204
					9	1954	1.0083	342.4207	61.5717
					10	1954	1.0062	330.4312	62.2343
					11	1954	1.0054	327.3238	62.3171
					12	1954	1.0053	337.9876	63.1276
					1	1955	1.0049	331.9313	51.9968
					2	1955	1.0087	355.7291	53.2287
					3	1955	1.0103	320.3374	51.5994
					4	1955	1.0094	320.8791	55.8004
					5	1955	1.0113	340.4348	56.4502
					6	1955	1.0118	314.5837	57.5674
					7	1955	1.0079	313.8647	64.3026
					8	1955	1.0082	311.1792	64.8308
					9	1955	1.007	325.7354	63.5218
					10	1955	1.0104	324.2787	61.7968
					11	1955	1.0098	315.4585	53.0568
					12	1955	1.0046	334.8854	57.2582
					1	1956	1.0084	343.8419	59.8473
					2	1956	1.0089	311.8134	54.5752
					3	1956	1.0074	323.9457	58.5013
					4	1956	1.0117	333.072	50.7416
					5	1956	1.0086	328.2318	65.195
					6	1956	1.0121	338.7546	62.0387
					7	1956	1.0122	328.8043	58.9812
					8	1956	1.0105	332.0115	57.8606
					9	1956	1.0103	323.648	62.24
					10	1956	1.0071	326.3404	65.566
					11	1956	1.0077	326.3905	64.8022
					12	1956	1.0039	324.5627	61.7209
					1	1957	1.0018	324.9167	63.481
					2	1957	1.0048	339.8717	55.4674
					3	1957	1.0056	330.4383	51.6313
					4	1957	1.0101	318.4862	58.4
					5	1957	1.0108	323.8872	51.5986
					6	1957	1.0117	304.0168	56.0936
					7	1957	1.0111	314.0956	56.5674
					8	1957	1.0094	321.3919	62.3504
					9	1957	1.0104	325.1323	60.5863
					10	1957	1.0036	331.9866	64.9039
					11	1957	1.0105	318.1061	60.2087
					12	1957	1.0067	333.4434	62.8753
					1	1958	1.0081	337.4355	60.1987
					2	1958	1.0071	326.4691	52.3284
					3	1958	1.0079	330.0822	47.3026
					4	1958	1.0114	336.3251	60.5179
					5	1958	1.0111	321.0396	58.8685
					6	1958	1.0116	308.9001	53.3479
					7	1958	1.0109	320.1805	58.1913
					8	1958	1.01	322.6632	55.3601
					9	1958	1.0088	317.1912	58.6719
					10	1958	1.0075	328.7293	63.1652
					11	1958	1.007	315.4881	60.3214
					12	1958	1.0062	338.4283	56.8572
					1	1959	1.0081	326.2858	54.8609
					2	1959	1.002	317.051	62.6259
					3	1959	1.0051	327.2198	59.5936
					4	1959	1.0097	343.6717	56.9318
					5	1959	1.0119	325.2796	51.8859
					6	1959	1.0118	323.0059	59.8493
					7	1959	1.0094	309.7075	63.1433
					8	1959	1.0118	323.5695	62.9623
					9	1959	1.0084	314.1428	63.3313
					10	1959	1.0064	322.4937	62.124
					11	1959	1.0086	333.7872	60.185
					12	1959	1.0038	338.2615	58.7213
					1	1960	1.0083	321.7059	51.5858
					2	1960	1.0087	338.6274	51.4553
					3	1960	1.0071	330.051	51.345
					4	1960	1.0101	329.5433	58.1581
					5	1960	1.0116	319.7068	53.5919
					6	1960	1.0116	306.1827	59.6375
					7	1960	1.0103	322.9886	58.841
					8	1960	1.0101	320.5904	57.5149
					9	1960	1.0099	316.1169	62
					10	1960	1.0093	330.7005	53.2176
					11	1960	1.0058	329.2851	57.4952
					12	1960	1.0051	331.9544	60.8765
					1	1961	1.0056	326.4558	58.7145
					2	1961	1.0044	330.7283	60.1016
					3	1961	1.0073	340.3204	60.4097
					4	1961	1.0075	330.3506	51.1592
					5	1961	1.0126	350.4808	56.2114
					6	1961	1.0087	322.7057	62.7691
					7	1961	1.0114	333.597	61.6554
					8	1961	1.0081	318.5951	64.2217
					9	1961	1.0069	324.1234	62.5481
					10	1961	1.0079	333.7401	61.343
					11	1961	1.01	341.2282	61.0924
					12	1961	1.0073	329.6533	51.5977
					1	1962	1.0019	327.9498	62.3091
					2	1962	1.0093	338.4452	64.9773
					3	1962	1.0075	331.0494	47.115
					4	1962	1.0107	325.181	59.8448
					5	1962	1.0123	356.5547	56.5082
					6	1962	1.0111	319.3869	63.0679
					7	1962	1.0126	320.3324	53.5166
					8	1962	1.01	327.7304	62.257
					9	1962	1.01	330.6336	62.6711
					10	1962	1.0083	325.5131	62.5889
					11	1962	1.0109	327.5983	62.8745
					12	1962	1.0086	320.6079	62.3143
					1	1963	1.011	312.0466	53.5598
					2	1963	1.008	325.1547	53.8342
					3	1963	1.0059	327.7541	56.5581
					4	1963	1.0095	325.6301	50.6351
					5	1963	1.01	328.9831	62.8365
					6	1963	1.0118	323.6245	55.0965
					7	1963	1.0121	311.7358	59.0215
					8	1963	1.0103	334.2315	58.6157
					9	1963	1.0072	327.6967	65.3269
					10	1963	1.0047	324.287	62.661
					11	1963	1.0076	342.6642	56.6423
					12	1963	1.0079	316.5176	56.5295
					1	1964	1.0063	315.7908	58.5356
					2	1964	1.0046	313.2683	55.179
					3	1964	1.0078	327.2171	52.9638
					4	1964	1.0114	340.4963	59.4766
					5	1964	1.0102	326.5332	57.9291
					6	1964	1.0104	315.1801	62.6186
					7	1964	1.0082	326.1032	66.3221
					8	1964	1.0121	327.0073	56.5765
					9	1964	1.0089	322.8138	61.9291
					10	1964	1.0087	322.862	63.3162
					11	1964	1.0079	331.277	60.0723
					12	1964	1.0071	340.546	64.951
					1	1965	1.0067	330.1791	58.9801
					2	1965	1.0107	305.4464	54.8962
					3	1965	1.007	324.7794	52.2306
					4	1965	1.0097	336.767	57.7798
					5	1965	1.0116	316.5012	53.8613
					6	1965	1.0103	329.2262	61.2542
					7	1965	1.0113	328.1391	58.5699
					8	1965	1.0099	317.9211	61.4737
					9	1965	1.0091	329.2568	61.7273
					10	1965	1.0081	314.5573	60.8923
					11	1965	1.011	343.8339	54.9284
					12	1965	1.0053	340.9798	58.4118
					1	1966	1.0052	328.0302	49.3715
					2	1966	1.0039	335.4923	52.3877
					3	1966	1.0094	351.9702	63.1052
					4	1966	1.0076	335.8735	50.5718
					5	1966	1.0116	326.8419	58.6513
					6	1966	1.0107	314.749	62.2861
					7	1966	1.0094	323.2636	61.8192
					8	1966	1.0124	323.1601	55.7827
					9	1966	1.0087	322.3509	61.5762
					10	1966	1.0099	326.026	55.7515
					11	1966	1.0088	331.6995	67.0904
					12	1966	1.0059	347.827	61.9342
					1	1967	1.0101	319.3424	56.9605
					2	1967	1.0038	325.2408	61.4196
					3	1967	1.0036	345.3986	64.4645
					4	1967	1.0107	335.3732	60.0857
					5	1967	1.0117	342.249	54.9785
					6	1967	1.0085	317.5027	65.9078
					7	1967	1.0109	319.6673	63.1209
					8	1967	1.0099	311.6733	64.0849
					9	1967	1.0084	322.5489	64.1558
					10	1967	1.0054	342.3062	61.822
					11	1967	1.0071	322.0781	62.9228
					12	1967	1.0097	341.7501	59.2287
					1	1968	1.0066	338.5687	61.3517
					2	1968	1.0091	322.0579	53.9843
					3	1968	1.0073	341.6827	63.8824
					4	1968	1.012	328.0744	57.9725
					5	1968	1.0119	312.5679	50.4353
					6	1968	1.0111	322.9482	61.2087
					7	1968	1.0107	289.4752	61.0551
					8	1968	1.0118	312.9573	60.225
					9	1968	1.01	333.2233	56.9371
					10	1968	1.0084	325.8427	53.9875
					11	1968	1.0082	323.6871	53.5278
					12	1968	1.0085	327.7061	56.0163
					1	1969	1.0092	341.0196	53.1097
					2	1969	1.0111	347.7672	48.7447
					3	1969	1.0091	321.8629	48.5178
					4	1969	1.0102	327.198	60.1577
					5	1969	1.0121	326.6939	54.9996
					6	1969	1.0098	305.7498	59.4196
					7	1969	1.0102	320.4293	64.5499
					8	1969	1.0108	302.7366	57.7952
					9	1969	1.0082	332.5889	66.1917
					10	1969	1.0061	324.8076	63.1243
					11	1969	1.0062	347.4837	62.8679
					12	1969	1.0095	334.2178	58.6942
					1	1970	1.0037	326.3518	52.3828
					2	1970	1.0077	331.295	61.0926
					3	1970	1.0097	347.2312	57.1736
					4	1970	1.0103	337.5433	55.0488
					5	1970	1.011	327.7959	63.3298
					6	1970	1.0095	307.264	64.6392
					7	1970	1.0093	327.9518	63.0965
					8	1970	1.011	306.3856	61.2119
					9	1970	1.0083	320.1339	61.8071
					10	1970	1.0093	350.371	64.8919
					11	1970	1.0079	337.5851	61.3093
					12	1970	1.0089	322.7615	57.2069
					1	1971	1.0044	329.8307	55.7086
					2	1971	1.0082	329.1283	62.9026
					3	1971	1.0101	318.1244	52.927
					4	1971	1.0119	335.3249	47.1723
					5	1971	1.0111	322.1944	59.4141
					6	1971	1.0119	326.4289	54.4487
					7	1971	1.0107	295.9288	60.4772
					8	1971	1.0084	322.9878	64.4529
					9	1971	1.0092	310.5348	63.823
					10	1971	1.0081	326.1178	62.0239
					11	1971	1.0095	352.9209	63.6047
					12	1971	1.0059	334.7686	62.3602
					1	1972	1.0042	318.5766	60.3644
					2	1972	1.0071	328.2219	58.6001
					3	1972	1.0086	337.1005	62.9019
					4	1972	1.0097	344.5611	57.0459
					5	1972	1.0109	331.8657	59.1592
					6	1972	1.0103	325.1007	62.3796
					7	1972	1.0109	312.2336	63.5353
					8	1972	1.0098	313.8973	64.1236
					9	1972	1.0099	305.1402	64.0222
					10	1972	1.0082	314.7055	66.3097
					11	1972	1.0074	343.0153	62.8955
					12	1972	1.0019	331.2529	61.599
					1	1973	1.0037	317.2909	60.8558
					2	1973	1.0061	349.1806	63.9009
					3	1973	1.0078	334.3765	63.6812
					4	1973	1.0115	341.5633	53.4211
					5	1973	1.0124	307.5238	50.9402
					6	1973	1.0107	321.2768	62.888
					7	1973	1.0104	313.962	62.0755
					8	1973	1.011	329.3701	63.8422
					9	1973	1.0091	311.0027	62.2944
					10	1973	1.0104	319.4111	62.6841
					11	1973	1.0078	325.5075	57.9133
					12	1973	1.0065	345.1579	63.7947
					1	1974	0.999	329.5056	60.5415
					2	1974	1.0059	331.5551	58.1791
					3	1974	1.007	315.3984	58.4935
					4	1974	1.011	320.428	56.6388
					5	1974	1.0115	325.3668	52.4341
					6	1974	1.0118	318.8977	59.4113
					7	1974	1.0096	334.5384	63.2927
					8	1974	1.0108	320.4345	61.5959
					9	1974	1.0071	330.9802	62.7151
					10	1974	1.0104	327.9954	60.2154
					11	1974	1.0079	334.6216	60.0824
					12	1974	1.0046	344.4732	62.6167
					1	1975	1.0035	335.8717	61.8758
					2	1975	1.0047	317.9926	58.4275
					3	1975	1.0093	333.4431	57.0117
					4	1975	1.0112	329.3734	55.7635
					5	1975	1.0125	319.2893	50.0584
					6	1975	1.0127	309.7798	60.6224
					7	1975	1.0085	311.2073	64.0361
					8	1975	1.0108	309.8214	63.2992
					9	1975	1.007	337.7605	65.3044
					10	1975	1.0086	315.9144	58.9673
					11	1975	1.0078	327.1306	62.6892
					12	1975	1.0055	342.7573	67.0684
					1	1976	1.0063	334.1128	63.1144
					2	1976	1.0034	316.8569	62.5939
					3	1976	1.0052	318.692	62.4214
					4	1976	1.0114	326.9236	57.9383
					5	1976	1.0106	327.251	58.0366
					6	1976	1.0102	316.0278	61.6385
					7	1976	1.0111	305.213	61.5254
					8	1976	1.0078	311.3312	66.9187
					9	1976	1.012	303.7747	61.5829
					10	1976	1.0066	333.1116	57.5628
					11	1976	1.0055	317.8517	59.0613
					12	1976	1.0088	327.0928	56.3349
					1	1977	1.008	317.2569	53.6941
					2	1977	1.0064	329.3943	54.0163
					3	1977	1.0088	325.494	56.0451
					4	1977	1.0099	339.0469	62.0847
					5	1977	1.0114	309.4964	53.5785
					6	1977	1.0122	311.6566	60.3867
					7	1977	1.0109	309.3598	59.8845
